station_name,radian,time,passengers,difference,,,,
大久保,344,2,49478,0.918032787,,,,
東中野,319,4,78204,0.918032787,,,,
中野,299,4,281194,0.846743295,,,,
高円寺,290,6,97998,0.498933902,,,,
阿佐ヶ谷,285,8,88202,0.498933902,,,,
荻窪,282,10,171876,0.827292111,,,,
西荻窪,279,12,85414,0.498933902,,,,
吉祥寺,278,14,279160,0.827292111,,,,
三鷹,276,14,185672,0.888030888,,,,
武蔵境,275,18,130768,0.818181818,,,,
東小金井,275,20,58176,0.818181818,,,,
武蔵小金井,274,22,118772,0.818181818,,,,
国分寺,273,19,216044,0.866894198,,,,
西国分寺,273,23,56792,0.766949153,,,,
国立,273,25,105162,0.769874477,,,,
立川,272,24,320694,0.878378378,,,,
日野,268,27,53854,0.947368421,,,,
豊田,263,30,63542,0.947368421,,,,
八王子,263,34,169478,0.988571429,,,,
西八王子,264,37,62794,1,,,,
高尾,262,41,60568,0.993150685,,,,
相模湖,260,50,5032,1.04,,,,
西立川,273,27,13280,0.832167832,,,,
東中神,274,31,13932,0.811188811,,,,
中神,274,32,21142,0.811188811,,,,
昭島,275,34,51940,0.811188811,,,,
拝島,276,36,58672,0.832167832,,,,
牛浜,278,38,8686,0.891891892,,,,
福生,280,40,33178,0.891891892,,,,
羽村,282,42,27490,0.891891892,,,,
小作,285,45,34130,0.891891892,,,,
河辺,286,48,26904,0.918918919,,,,
東青梅,286,50,13326,0.923809524,,,,
青梅,286,53,13738,0.952380952,,,,
初台,232,2,57610,0.887096774,,,,
幡ヶ谷,236,4,30985,0.887096774,,,,
笹塚,239,5,74580,0.887096774,,,,
代田橋,240,7,20773,0.857142857,,,,
明大前,242,8,91026,0.94278607,,,,
下高井戸,243,10,44270,0.887640449,,,,
桜上水,248,12,37003,0.866920152,,,,
上北沢,251,13,14175,0.832167832,,,,
八幡山,253,14,40664,0.900584795,,,,
芦花公園,255,18,14057,0.9296875,,,,
千歳烏山,255,12,76419,0.960365854,,,,
仙川,253,21,75005,1.031674208,,,,
つつじヶ丘,252,22,45125,0.890625,,,,
柴崎,252,27,17340,0.957055215,,,,
国領,251,28,39046,0.957055215,,,,
布田,252,30,15719,0.957055215,,,,
調布,253,14,115238,0.919708029,,,,
西調布,257,19,16216,0.98245614,,,,
飛田給,258,20,23476,0.98245614,,,,
武蔵野台,260,22,24986,0.98245614,,,,
多磨霊園,262,23,11798,0.98245614,,,,
東府中,263,25,20169,0.875,,,,
府中,264,20,85829,0.991189427,,,,
分倍河原,263,23,89249,0.991189427,,,,
中川原,261,28,25183,0.957627119,,,,
聖蹟桜ヶ丘,259,26,65739,0.991189427,,,,
百草園,262,33,7541,0.957627119,,,,
高幡不動,263,29,59536,0.991189427,,,,
南平,262,38,10934,0.957627119,,,,
平山城址公園,261,40,8990,0.957627119,,,,
長沼,260,42,4027,0.957627119,,,,
北野,261,36,22081,0.991189427,,,,
京王八王子,264,39,57675,0.958333333,,,,
京王片倉,261,38,4652,1.215909091,,,,
山田,262,40,4995,1.215909091,,,,
めじろ台,262,41,17698,0.947368421,,,,
狭間,262,44,7226,1.215909091,,,,
高尾,262,44,27209,0.947368421,,,,
高尾山口,261,47,10089,0.964285714,,,,
京王多摩川,251,17,16937,0.966101695,,,,
京王稲田堤,248,19,51536,0.836842105,,,,
京王よみうりランド,249,21,12195,0.966101695,,,,
稲城,252,23,20071,0.966101695,,,,
若葉台,249,26,24758,0.966101695,,,,
京王永山,254,29,44140,0.836842105,,,,
京王多摩センター,254,31,84345,0.836842105,,,,
京王堀之内,255,36,31015,0.966666667,,,,
南大沢,254,34,61708,0.858695652,,,,
多摩境,252,41,18945,0.966666667,,,,
橋本,252,38,91265,0.858695652,,,,
